fold,dataset,model,strategy,pre_corr,corr_th,measure,n_features,acc_train,gps_train,acc_test,gps_test,complexity_all_kDN,complexity_all_N1,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_N1,complexity_sel_Hostility
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,Hostility,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,Hostility,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,Hostility,15,0.8333333333333334,0.8319327731092437,0.75,0.7476635514018692,,,,0.2916666666666667,0.1972222222222222,0.25
3,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,Hostility,15,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,,,,0.2916666666666667,0.1972222222222222,0.25
4,pollution_NoPreFilter,KNN,NONE,False,,NONE,15,0.8333333333333334,0.8329853862212944,0.9166666666666666,0.916030534351145,0.3458333333333334,0.3055555555555555,0.3541666666666667,,,
4,pollution_NoPreFilter,SVM,NONE,False,,NONE,15,0.8958333333333334,0.8957828405235094,0.9166666666666666,0.916030534351145,0.3458333333333334,0.3055555555555555,0.3541666666666667,,,
4,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,kDN,14,0.8125,0.8123997862105825,1.0,1.0,,,,0.36250000000000004,0.3489583333333333,0.2708333333333333
4,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,kDN,14,0.875,0.8749999999999999,0.9166666666666666,0.916030534351145,,,,0.36250000000000004,0.3489583333333333,0.2708333333333333
4,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,kDN,15,0.8333333333333334,0.8329853862212944,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,kDN,15,0.8958333333333334,0.8957828405235094,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,kDN,15,0.8333333333333334,0.8329853862212944,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,kDN,15,0.8958333333333334,0.8957828405235094,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,kDN,15,0.8333333333333334,0.8329853862212944,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,kDN,15,0.8958333333333334,0.8957828405235094,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,kDN,15,0.8333333333333334,0.8329853862212944,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,kDN,15,0.8958333333333334,0.8957828405235094,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,kDN,15,0.8333333333333334,0.8329853862212944,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
4,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,kDN,15,0.8958333333333334,0.8957828405235094,0.9166666666666666,0.916030534351145,,,,0.3458333333333334,0.3055555555555555,0.3541666666666667
