dataset,subset,model,mean_acc,std_acc,mean_gps,std_gps,mean_acc_class_0,std_acc_class_0,mean_acc_class_1,std_acc_class_1
ArtificialDataset3,xgb_corr_top25,DecisionTree,0.841,0.025079872407968898,0.8408049620864343,0.0249942643215652,0.86,0.04381780460041329,0.8220000000000001,0.03026549190084311
ArtificialDataset3,xgb_corr_top25,XGBoost,0.9469999999999998,0.014866068747318491,0.9469646860917159,0.01488652627966863,0.9559999999999998,0.017435595774162687,0.938,0.03399999999999999
ArtificialDataset3,guided_Hostility_top25,LogReg,0.876,0.021071307505705496,0.8757070451671165,0.021135957668054352,0.8940000000000001,0.041999999999999996,0.858,0.050159744815937816
ArtificialDataset3,guided_Hostility_top25,SVM-linear,0.8750000000000002,0.020124611797498127,0.8746704583795253,0.020143412621947843,0.908,0.04118252056394801,0.842,0.040447496832313364
ArtificialDataset3,guided_Hostility_top25,SVM-rbf,0.966,0.012806248474865708,0.9659836136607411,0.012807208065164447,0.978,0.022715633383201116,0.954,0.022000000000000002
ArtificialDataset3,guided_Hostility_top25,RandomForest,0.914,0.020099751242241764,0.9138733943696666,0.020144093941627174,0.9339999999999998,0.028354893757515636,0.8939999999999999,0.041999999999999996
ArtificialDataset3,guided_Hostility_top25,KNN,0.9399999999999998,0.017320508075688742,0.9399502662036667,0.01738187265518019,0.9440000000000002,0.023323807579381177,0.9359999999999999,0.03440930106817049
ArtificialDataset3,guided_Hostility_top25,NaiveBayes,0.777,0.03925557285278106,0.7643308180084069,0.04604364718651318,0.966,0.023748684174075836,0.588,0.08304215796810678
ArtificialDataset3,guided_Hostility_top25,DecisionTree,0.8160000000000001,0.04454211490264017,0.8156478989885032,0.04472780733204079,0.804,0.06560487786742691,0.828,0.04664761515876241
ArtificialDataset3,guided_Hostility_top25,XGBoost,0.943,0.022383029285599373,0.9429635960131858,0.02241797302807294,0.942,0.035156791662493886,0.9440000000000002,0.026532998322843174
ArtificialDataset3,guided_N1_top25,LogReg,0.9259999999999999,0.009165151389911672,0.9258755729858466,0.009308560411199448,0.952,0.02227105745132009,0.9,0.03224903099319421
ArtificialDataset3,guided_N1_top25,SVM-linear,0.925,0.012845232578665105,0.9248247490696484,0.012921736749563243,0.9640000000000001,0.02154065922853801,0.8859999999999999,0.029732137494637018
ArtificialDataset3,guided_N1_top25,SVM-rbf,0.983,0.006403124237432854,0.9829927265292872,0.00641025268441786,0.998,0.0060000000000000045,0.968,0.016000000000000014
ArtificialDataset3,guided_N1_top25,RandomForest,0.938,0.01166190378969057,0.9379255786057316,0.011698642251724164,0.954,0.03104834939252003,0.9219999999999999,0.030265491900843093
ArtificialDataset3,guided_N1_top25,KNN,0.9549999999999998,0.019621416870348563,0.9549806022708468,0.019652062973944215,0.954,0.026907248094147414,0.9559999999999998,0.023323807579381198
ArtificialDataset3,guided_N1_top25,NaiveBayes,0.8680000000000001,0.035156791662493886,0.8675497327847704,0.035359610632104396,0.9,0.04381780460041329,0.836,0.06183849933496122
ArtificialDataset3,guided_N1_top25,DecisionTree,0.842,0.0373630833845388,0.8417082266105702,0.037428796320426935,0.8300000000000001,0.0523450093132096,0.8539999999999999,0.05295280917949491
ArtificialDataset3,guided_N1_top25,XGBoost,0.944,0.015620499351813276,0.9439521550881411,0.015674502159613055,0.9440000000000002,0.031999999999999994,0.9440000000000002,0.026532998322843174
ArtificialDataset3,guided_kDN_top25,LogReg,0.8790000000000001,0.019209372712298566,0.8786213399742173,0.019543461956795453,0.898,0.041424630354415966,0.86,0.0551361950083609
ArtificialDataset3,guided_kDN_top25,SVM-linear,0.873,0.02531797780234435,0.8726369414888774,0.02567992901314515,0.906,0.02374868417407581,0.8400000000000001,0.05138093031466052
ArtificialDataset3,guided_kDN_top25,SVM-rbf,0.9730000000000001,0.012688577540449532,0.9729928755066449,0.012690802691431732,0.9760000000000002,0.023323807579381226,0.97,0.016124515496597113
ArtificialDataset3,guided_kDN_top25,RandomForest,0.922,0.02088061301782108,0.9218910030017489,0.020930474473626646,0.9339999999999999,0.03583294573433782,0.9099999999999999,0.0412310562561766
ArtificialDataset3,guided_kDN_top25,KNN,0.9540000000000001,0.021540659228537987,0.9539940038449206,0.021546170754790303,0.954,0.017999999999999995,0.9540000000000001,0.02835489375751563
ArtificialDataset3,guided_kDN_top25,NaiveBayes,0.808,0.04118252056394799,0.7995844959284557,0.0469519170884324,0.974,0.018000000000000016,0.642,0.08411896337925236
ArtificialDataset3,guided_kDN_top25,DecisionTree,0.819,0.046357307945997024,0.8187261830426362,0.04638193661768178,0.8240000000000001,0.06183849933496123,0.8140000000000001,0.05517245689653489
ArtificialDataset3,guided_kDN_top25,XGBoost,0.9349999999999998,0.023769728648009403,0.9349168799326584,0.023805165806954354,0.9359999999999999,0.039799497484264784,0.9339999999999999,0.041036569057366364
ArtificialDataset3,random_Hostility_top25,LogReg,0.9490000000000001,0.02165640782770769,0.9489680411456899,0.02170092815959505,0.9559999999999998,0.017435595774162687,0.942,0.0362767142944341
