fold,dataset,model,strategy,pre_corr,corr_th,measure,n_features,acc_train,gps_train,acc_test,gps_test,complexity_all_kDN,complexity_all_N1,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_N1,complexity_sel_Hostility
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,kDN,12,0.9487179487179487,0.9276460523099486,0.8974358974358975,0.8605577689243029,,,,0.11025641025641025,0.07211538461538461,0.17307692307692307
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,kDN,12,0.9038461538461539,0.8369439518926838,0.8974358974358975,0.8484848484848485,,,,0.11025641025641025,0.07211538461538461,0.17307692307692307
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,kDN,15,0.9551282051282052,0.9362274533781719,0.8974358974358975,0.8605577689243029,,,,0.10256410256410256,0.07628205128205127,0.09615384615384616
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,kDN,15,0.9102564102564102,0.8507059176930009,0.8974358974358975,0.8484848484848485,,,,0.10256410256410256,0.07628205128205127,0.09615384615384616
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,kDN,16,0.9615384615384616,0.9449339207048457,0.8974358974358975,0.8605577689243029,,,,0.10512820512820512,0.0794871794871795,0.11538461538461539
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,kDN,16,0.9102564102564102,0.8507059176930009,0.9230769230769231,0.8826086956521739,,,,0.10512820512820512,0.0794871794871795,0.11538461538461539
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,kDN,17,0.9615384615384616,0.9449339207048457,0.8974358974358975,0.8605577689243029,,,,0.11923076923076922,0.07254273504273503,0.09615384615384616
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,kDN,17,0.9102564102564102,0.8507059176930009,0.9230769230769231,0.8826086956521739,,,,0.11923076923076922,0.07254273504273503,0.09615384615384616
3,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,kDN,19,0.9615384615384616,0.9449339207048457,0.8974358974358975,0.8605577689243029,,,,0.11153846153846153,0.06452991452991452,0.10897435897435898
3,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,kDN,19,0.9102564102564102,0.8507059176930009,0.9230769230769231,0.8826086956521739,,,,0.11153846153846153,0.06452991452991452,0.10897435897435898
