measure,subset_k,model,variables_incluidas,mean_acc,std_acc,mean_gps,std_gps,mean_acc_class_0,mean_acc_class_1,std_acc_class_0,std_acc_class_1
Hostility,16,KNN,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15",0.9650000000000001,0.018574175621006706,0.9649522966764728,0.01861755680274391,0.9800000000000001,0.95,0.026832815729997475,0.037148351242013405
Hostility,16,NaiveBayes,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15",0.898,0.01720465053408527,0.8978256681328333,0.017267874901980805,0.8960000000000001,0.9,0.03878143885933064,0.04472135954999581
Hostility,16,DecisionTree,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15",0.884,0.022891046284519215,0.8838422253608856,0.02295535459544588,0.882,0.8860000000000001,0.03155946767611903,0.048207883172775794
Hostility,16,XGBoost,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15",0.959,0.012206555615733715,0.9589615853680125,0.012228058213286666,0.9600000000000002,0.958,0.03346640106136302,0.027495454169735024
Hostility,17,LogReg,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5",0.9389999999999998,0.015132745950421519,0.9389725053429319,0.015125931903515168,0.938,0.9399999999999998,0.02088061301782107,0.03098386676965931
Hostility,17,SVM-linear,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5",0.944,0.020591260281973976,0.9439728078672245,0.020593319111847842,0.9480000000000001,0.9400000000000001,0.022271057451320065,0.03577708763999662
Hostility,17,SVM-rbf,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5",0.9810000000000001,0.012206555615733713,0.9809943716290259,0.012208145211856335,0.986,0.9760000000000002,0.0200997512422418,0.01959591794226544
Hostility,17,RandomForest,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5",0.96,0.015491933384829681,0.9599665346474632,0.0155097470053754,0.966,0.954,0.02835489375751564,0.03104834939252003
Hostility,17,KNN,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5",0.967,0.01552417469626004,0.9669890083961263,0.015532069047819326,0.9719999999999999,0.9620000000000001,0.023999999999999997,0.020880613017821095
Hostility,17,NaiveBayes,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5",0.9029999999999999,0.021,0.9028204220621069,0.021159924074633796,0.9019999999999999,0.9039999999999999,0.030265491900843114,0.05276362383309167
Hostility,17,DecisionTree,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5",0.897,0.02758622844826745,0.8967712147492202,0.02770467490423155,0.9099999999999999,0.884,0.03376388603226825,0.06118823416311342
Hostility,17,XGBoost,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5",0.9650000000000001,0.01284523257866514,0.9649620882173722,0.012876843810299975,0.97,0.9600000000000002,0.028635642126552712,0.03346640106136301
Hostility,18,LogReg,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5,f0",0.9710000000000001,0.016401219466856715,0.9709939101408098,0.016401811703496944,0.97,0.9720000000000001,0.022360679774997894,0.022271057451320107
Hostility,18,SVM-linear,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5,f0",0.9690000000000001,0.014456832294800973,0.9689801156738642,0.014480358184785236,0.96,0.978,0.028284271247461888,0.018867962264113223
Hostility,18,SVM-rbf,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5,f0",0.986,0.008000000000000007,0.9859981646396676,0.008001124526340515,0.982,0.99,0.014000000000000012,0.010000000000000009
Hostility,18,RandomForest,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5,f0",0.958,0.01939071942966531,0.9579655208763391,0.01942088993347484,0.9620000000000001,0.954,0.02749545416973503,0.03469870314579493
Hostility,18,KNN,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5,f0",0.9720000000000001,0.015362291495737231,0.971988280976554,0.01537418649728062,0.9800000000000001,0.9640000000000001,0.012649110640673528,0.027999999999999987
Hostility,18,NaiveBayes,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5,f0",0.907,0.016155494421403526,0.9068233323462621,0.01629357832832914,0.9099999999999999,0.9039999999999999,0.03492849839314595,0.04799999999999998
Hostility,18,DecisionTree,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5,f0",0.898,0.029257477676655586,0.897881955848524,0.02925757843230445,0.9000000000000001,0.8960000000000001,0.0322490309931942,0.05351635264103861
Hostility,18,XGBoost,"f12,f8,f9,f2,f14,f7,f4,f6,f10,f3,f13,f17,f11,f16,f1,f15,f5,f0",0.968,0.014696938456699081,0.967988549837288,0.014702173292905914,0.968,0.968,0.024000000000000025,0.022271057451320082
N1,1,LogReg,f12,0.756,0.025768197453450273,0.7550059829061565,0.02580549860611471,0.766,0.746,0.06755738301621815,0.05219195340279955
N1,1,SVM-linear,f12,0.751,0.02879236009777596,0.7500693840928706,0.028521349714563028,0.77,0.732,0.06465291950097846,0.05153639490690049
N1,1,SVM-rbf,f12,0.75,0.03255764119219944,0.748901824728463,0.03240300761720096,0.772,0.728,0.07110555533852471,0.05381449618829483
N1,1,RandomForest,f12,0.6699999999999999,0.046475800154488996,0.6678635921457231,0.04711892595956491,0.682,0.658,0.07922120928135344,0.07717512552629896
N1,1,KNN,f12,0.711,0.03477067730142741,0.709568471922124,0.03507314934483922,0.71,0.712,0.073348483283569,0.06209669878504008
N1,1,NaiveBayes,f12,0.7529999999999999,0.02865309756378883,0.7520393506312486,0.028392591292964224,0.782,0.724,0.06095900261651269,0.04882622246293479
N1,1,DecisionTree,f12,0.6699999999999999,0.046475800154488996,0.6678635921457231,0.04711892595956491,0.682,0.658,0.07922120928135344,0.07717512552629896
N1,1,XGBoost,f12,0.709,0.0350570962859162,0.7076236362063113,0.035448982671245834,0.738,0.6799999999999999,0.06477653896280659,0.05513619500836089
N1,2,LogReg,"f12,f8",0.8039999999999999,0.03638681079732049,0.803313635873538,0.03706546695015001,0.812,0.796,0.05075431016179806,0.06740919818541087
N1,2,SVM-linear,"f12,f8",0.817,0.03606937759374285,0.816581259459868,0.036472203823131086,0.8320000000000001,0.8019999999999999,0.042142615011410964,0.05827520913733387
N1,2,SVM-rbf,"f12,f8",0.798,0.025999999999999985,0.7970235305390161,0.02662539577155516,0.8220000000000001,0.774,0.05015974481593781,0.06873136110975832
N1,2,RandomForest,"f12,f8",0.7790000000000001,0.03477067730142742,0.778350165134227,0.034874990075772536,0.8000000000000002,0.7580000000000001,0.046475800154488996,0.06225752966509351
N1,2,KNN,"f12,f8",0.7910000000000001,0.024677925358506127,0.7905847969329913,0.024857381012981492,0.818,0.764,0.03515679166249387,0.03878143885933065
