dataset,fold,method,k,n_available_features,model,acc_test,gps_test
ArtificialDataset18c,1,rf,5,42,KNN,0.65,0.5279103548454036
ArtificialDataset18c,1,rf,6,42,SVM-rbf,0.66,0.18577648766328012
ArtificialDataset18c,1,rf,6,42,KNN,0.69,0.5765195010888933
ArtificialDataset18c,1,rf,7,42,SVM-rbf,0.68,0.32
ArtificialDataset18c,1,rf,7,42,KNN,0.67,0.5594739988045426
ArtificialDataset18c,1,rf,8,42,SVM-rbf,0.66,0.252
ArtificialDataset18c,1,rf,8,42,KNN,0.58,0.3695652173913044
ArtificialDataset18c,1,rf,9,42,SVM-rbf,0.64,0.17714285714285719
ArtificialDataset18c,1,rf,9,42,KNN,0.59,0.4266413842142688
ArtificialDataset18c,1,rf,10,42,SVM-rbf,0.66,0.252
ArtificialDataset18c,1,rf,10,42,KNN,0.59,0.4266413842142688
ArtificialDataset18c,1,rf,11,42,SVM-rbf,0.68,0.2638700947225981
ArtificialDataset18c,1,rf,11,42,KNN,0.63,0.4547368421052632
ArtificialDataset18c,1,rf,12,42,SVM-rbf,0.66,0.252
ArtificialDataset18c,1,rf,12,42,KNN,0.62,0.46889089269612266
ArtificialDataset18c,1,rf,13,42,SVM-rbf,0.67,0.25780463242698887
ArtificialDataset18c,1,rf,13,42,KNN,0.6,0.43342776203966005
ArtificialDataset18c,1,rf,14,42,SVM-rbf,0.68,0.2638700947225981
ArtificialDataset18c,1,rf,14,42,KNN,0.61,0.4403669724770642
ArtificialDataset18c,1,rf,15,42,SVM-rbf,0.69,0.20037383177570092
ArtificialDataset18c,1,rf,15,42,KNN,0.62,0.3952772073921971
ArtificialDataset18c,1,rf,16,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,rf,16,42,KNN,0.62,0.3952772073921971
ArtificialDataset18c,1,rf,17,42,SVM-rbf,0.71,0.34238262535931013
ArtificialDataset18c,1,rf,17,42,KNN,0.63,0.4021543985637343
ArtificialDataset18c,1,rf,18,42,SVM-rbf,0.71,0.34238262535931013
ArtificialDataset18c,1,rf,18,42,KNN,0.66,0.4526829268292683
ArtificialDataset18c,1,rf,19,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,rf,19,42,KNN,0.66,0.4776536312849162
ArtificialDataset18c,1,rf,20,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,rf,20,42,KNN,0.66,0.5188679245283019
ArtificialDataset18c,1,rf,21,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,rf,21,42,KNN,0.62,0.4474671669793621
ArtificialDataset18c,1,rf,22,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,rf,22,42,KNN,0.67,0.48569434752267965
ArtificialDataset18c,1,rf,23,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,rf,23,42,KNN,0.66,0.5188679245283019
ArtificialDataset18c,1,rf,24,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,rf,24,42,KNN,0.63,0.5122410546139361
ArtificialDataset18c,1,rf,25,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,rf,25,42,KNN,0.63,0.5272764145203813
ArtificialDataset18c,1,rf,26,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,rf,26,42,KNN,0.64,0.5351089588377724
ArtificialDataset18c,1,rf,27,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,rf,27,42,KNN,0.68,0.5815384615384616
ArtificialDataset18c,1,rf,28,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,rf,28,42,KNN,0.6,0.4732221246707638
ArtificialDataset18c,1,rf,29,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,rf,29,42,KNN,0.66,0.5512
ArtificialDataset18c,1,rf,30,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,rf,30,42,KNN,0.64,0.5199999999999999
ArtificialDataset18c,1,rf,31,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,rf,31,42,KNN,0.68,0.5937266616878268
ArtificialDataset18c,1,rf,32,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,rf,32,42,KNN,0.63,0.5272764145203813
ArtificialDataset18c,1,rf,33,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,rf,33,42,KNN,0.64,0.5351089588377724
ArtificialDataset18c,1,rf,34,42,SVM-rbf,0.7,0.33460076045627374
ArtificialDataset18c,1,rf,34,42,KNN,0.65,0.5566166439290587
ArtificialDataset18c,1,rf,35,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,rf,35,42,KNN,0.64,0.5351089588377724
ArtificialDataset18c,1,rf,36,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,rf,36,42,KNN,0.63,0.5406896551724137
ArtificialDataset18c,1,rf,37,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,rf,37,42,KNN,0.62,0.5195758564437193
ArtificialDataset18c,1,rf,38,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,rf,38,42,KNN,0.66,0.5769230769230769
ArtificialDataset18c,1,rf,39,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,rf,39,42,KNN,0.67,0.5730836068739139
ArtificialDataset18c,1,rf,40,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,rf,40,42,KNN,0.68,0.5937266616878268
ArtificialDataset18c,1,rf,41,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,rf,41,42,KNN,0.67,0.5730836068739139
ArtificialDataset18c,1,rf,42,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,rf,42,42,KNN,0.71,0.6078842125309466
ArtificialDataset18c,2,f_classif,1,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,2,f_classif,1,42,KNN,0.61,0.35685320356853206
ArtificialDataset18c,2,f_classif,2,42,SVM-rbf,0.69,0.11281625881377022
ArtificialDataset18c,2,f_classif,2,42,KNN,0.67,0.39836734693877557
ArtificialDataset18c,2,f_classif,3,42,SVM-rbf,0.69,0.11281625881377022
ArtificialDataset18c,2,f_classif,3,42,KNN,0.68,0.4397528321318229
ArtificialDataset18c,2,f_classif,4,42,SVM-rbf,0.69,0.11281625881377022
ArtificialDataset18c,2,f_classif,4,42,KNN,0.7,0.5528109028960818
ArtificialDataset18c,2,f_classif,5,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,2,f_classif,5,42,KNN,0.67,0.5076820307281229
