dataset,fold,method,k,n_available_features,model,acc_test,gps_test
sonar,4,mutual_info,22,56,KNN,0.8536585365853658,0.8510638297872339
sonar,4,mutual_info,23,56,SVM-rbf,0.8292682926829268,0.8272859216255443
sonar,4,mutual_info,23,56,KNN,0.8780487804878049,0.8767123287671235
sonar,4,mutual_info,24,56,SVM-rbf,0.8048780487804879,0.8012048192771084
sonar,4,mutual_info,24,56,KNN,0.8536585365853658,0.85273492286115
sonar,4,mutual_info,25,56,SVM-rbf,0.8048780487804879,0.8012048192771084
sonar,4,mutual_info,25,56,KNN,0.8780487804878049,0.8767123287671235
sonar,4,mutual_info,26,56,SVM-rbf,0.8292682926829268,0.8272859216255443
sonar,4,mutual_info,26,56,KNN,0.9024390243902439,0.9008042895442359
sonar,4,mutual_info,27,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,mutual_info,27,56,KNN,0.9024390243902439,0.9008042895442359
sonar,4,mutual_info,28,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,mutual_info,28,56,KNN,0.9024390243902439,0.9008042895442359
sonar,4,mutual_info,29,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,mutual_info,29,56,KNN,0.9024390243902439,0.9008042895442359
sonar,4,mutual_info,30,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,mutual_info,30,56,KNN,0.8536585365853658,0.8484848484848485
sonar,4,mutual_info,31,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,mutual_info,31,56,KNN,0.8536585365853658,0.8510638297872339
sonar,4,mutual_info,32,56,SVM-rbf,0.8292682926829268,0.8272859216255443
sonar,4,mutual_info,32,56,KNN,0.8536585365853658,0.8510638297872339
sonar,4,mutual_info,33,56,SVM-rbf,0.8292682926829268,0.8272859216255443
sonar,4,mutual_info,33,56,KNN,0.9024390243902439,0.8991825613079019
sonar,4,mutual_info,34,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,mutual_info,34,56,KNN,0.9024390243902439,0.8991825613079019
sonar,4,mutual_info,35,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,mutual_info,35,56,KNN,0.9024390243902439,0.8991825613079019
sonar,4,mutual_info,36,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,mutual_info,36,56,KNN,0.9024390243902439,0.8991825613079019
sonar,4,mutual_info,37,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,mutual_info,37,56,KNN,0.9024390243902439,0.8991825613079019
sonar,4,mutual_info,38,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,mutual_info,38,56,KNN,0.9024390243902439,0.8991825613079019
sonar,4,mutual_info,39,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,mutual_info,39,56,KNN,0.8536585365853658,0.8484848484848485
sonar,4,mutual_info,40,56,SVM-rbf,0.8536585365853658,0.85273492286115
sonar,4,mutual_info,40,56,KNN,0.8536585365853658,0.8484848484848485
sonar,4,mutual_info,41,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,mutual_info,41,56,KNN,0.8536585365853658,0.8484848484848485
sonar,4,mutual_info,42,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,mutual_info,42,56,KNN,0.8780487804878049,0.875
sonar,4,mutual_info,43,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,mutual_info,43,56,KNN,0.8780487804878049,0.875
sonar,4,mutual_info,44,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,mutual_info,44,56,KNN,0.8780487804878049,0.875
sonar,4,mutual_info,45,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,mutual_info,45,56,KNN,0.8780487804878049,0.875
sonar,4,mutual_info,46,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,mutual_info,46,56,KNN,0.926829268292683,0.9250985545335086
sonar,4,mutual_info,47,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,mutual_info,47,56,KNN,0.926829268292683,0.9250985545335086
sonar,4,mutual_info,48,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,mutual_info,48,56,KNN,0.926829268292683,0.9250985545335086
sonar,4,mutual_info,49,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,mutual_info,49,56,KNN,0.9024390243902439,0.8991825613079019
sonar,4,mutual_info,50,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,mutual_info,50,56,KNN,0.926829268292683,0.9250985545335086
sonar,4,mutual_info,51,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,mutual_info,51,56,KNN,0.926829268292683,0.9250985545335086
sonar,4,mutual_info,52,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,mutual_info,52,56,KNN,0.9024390243902439,0.8991825613079019
sonar,4,mutual_info,53,56,SVM-rbf,0.8536585365853658,0.8535564853556485
sonar,4,mutual_info,53,56,KNN,0.926829268292683,0.9250985545335086
sonar,4,mutual_info,54,56,SVM-rbf,0.8780487804878049,0.8777173913043478
sonar,4,mutual_info,54,56,KNN,0.926829268292683,0.9250985545335086
sonar,4,mutual_info,55,56,SVM-rbf,0.8536585365853658,0.8535564853556485
sonar,4,mutual_info,55,56,KNN,0.926829268292683,0.9250985545335086
sonar,4,mutual_info,56,56,SVM-rbf,0.8536585365853658,0.8535564853556485
sonar,4,mutual_info,56,56,KNN,0.9024390243902439,0.8991825613079019
sonar,4,relief,1,56,SVM-rbf,0.7073170731707317,0.7010309278350516
sonar,4,relief,1,56,KNN,0.7317073170731707,0.728171334431631
sonar,4,relief,2,56,SVM-rbf,0.7560975609756098,0.7512038523274478
sonar,4,relief,2,56,KNN,0.7317073170731707,0.728171334431631
sonar,4,relief,3,56,SVM-rbf,0.7804878048780488,0.7798165137614678
sonar,4,relief,3,56,KNN,0.7317073170731707,0.728171334431631
sonar,4,relief,4,56,SVM-rbf,0.7560975609756098,0.7543581616481776
sonar,4,relief,4,56,KNN,0.8048780487804879,0.8047337278106509
