fold,model,measure,corr_type,n_features,features,acc_train,gps_train,acc_test,gps_test,complexity_all_kDN,complexity_all_N1,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_N1,complexity_sel_Hostility,corr_th
4,SVM-rbf,kDN,pearson,12,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_polarisable', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_acceptor', 'p2_sigma', 'p3_polar']",0.9491525423728814,0.9459459459459458,0.8666666666666667,0.8602150537634408,,,,0.2033898305084746,0.20310734463276836,0.13559322033898305,0.7
4,KNN,kDN,pearson,12,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_polarisable', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_acceptor', 'p2_sigma', 'p3_polar']",0.9152542372881356,0.9078498293515359,0.8,0.7804878048780488,,,,0.2033898305084746,0.20310734463276836,0.13559322033898305,0.7
4,SVM-rbf,kDN,spearman,9,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_acceptor', 'p2_size', 'p2_flex', 'p2_h_acceptor', 'p2_sigma', 'p3_polar']",0.9322033898305084,0.9271523178807948,0.7333333333333333,0.7179487179487178,,,,0.2677966101694915,0.31384180790960453,0.2033898305084746,0.7
4,KNN,kDN,spearman,9,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_acceptor', 'p2_size', 'p2_flex', 'p2_h_acceptor', 'p2_sigma', 'p3_polar']",0.864406779661017,0.856338028169014,0.7333333333333333,0.7179487179487178,,,,0.2677966101694915,0.31384180790960453,0.2033898305084746,0.7
4,SVM-rbf,N1,pearson,8,"['p1_polar', 'p1_size', 'p1_flex', 'p2_polar', 'p2_size', 'p2_flex', 'p3_polar', 'p3_pi_acceptor']",0.8983050847457628,0.890420399724328,0.7333333333333333,0.7179487179487178,,,,0.2847457627118644,0.29943502824858753,0.23728813559322035,0.7
4,KNN,N1,pearson,8,"['p1_polar', 'p1_size', 'p1_flex', 'p2_polar', 'p2_size', 'p2_flex', 'p3_polar', 'p3_pi_acceptor']",0.847457627118644,0.8329621380846325,0.6666666666666666,0.626865671641791,,,,0.2847457627118644,0.29943502824858753,0.23728813559322035,0.7
4,SVM-rbf,N1,spearman,8,"['p1_polar', 'p1_size', 'p1_flex', 'p2_polar', 'p2_size', 'p2_flex', 'p3_polar', 'p3_pi_acceptor']",0.8983050847457628,0.890420399724328,0.7333333333333333,0.7179487179487178,,,,0.2847457627118644,0.29943502824858753,0.23728813559322035,0.7
4,KNN,N1,spearman,8,"['p1_polar', 'p1_size', 'p1_flex', 'p2_polar', 'p2_size', 'p2_flex', 'p3_polar', 'p3_pi_acceptor']",0.847457627118644,0.8329621380846325,0.6666666666666666,0.626865671641791,,,,0.2847457627118644,0.29943502824858753,0.23728813559322035,0.7
4,SVM-rbf,Hostility,pearson,13,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_pi_acceptor', 'p1_polarisable', 'p2_polar', 'p2_flex', 'p2_pi_acceptor', 'p3_polar', 'p3_flex', 'p3_h_acceptor']",0.9322033898305084,0.9271523178807948,0.8,0.7804878048780488,,,,0.23050847457627116,0.21610169491525424,0.2033898305084746,0.7
4,KNN,Hostility,pearson,13,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_pi_acceptor', 'p1_polarisable', 'p2_polar', 'p2_flex', 'p2_pi_acceptor', 'p3_polar', 'p3_flex', 'p3_h_acceptor']",0.8983050847457628,0.890420399724328,0.7333333333333333,0.7179487179487178,,,,0.23050847457627116,0.21610169491525424,0.2033898305084746,0.7
4,SVM-rbf,Hostility,spearman,9,"['p1_polar', 'p1_size', 'p1_flex', 'p1_polarisable', 'p2_polar', 'p2_flex', 'p2_h_doner', 'p3_polar', 'p3_h_acceptor']",0.9152542372881356,0.9096989966555185,0.6666666666666666,0.626865671641791,,,,0.25084745762711863,0.25706214689265533,0.2711864406779661,0.7
4,KNN,Hostility,spearman,9,"['p1_polar', 'p1_size', 'p1_flex', 'p1_polarisable', 'p2_polar', 'p2_flex', 'p2_h_doner', 'p3_polar', 'p3_h_acceptor']",0.864406779661017,0.853448275862069,0.6666666666666666,0.626865671641791,,,,0.25084745762711863,0.25706214689265533,0.2711864406779661,0.7
5,SVM-rbf,ALL,none,27,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_pi_doner', 'p1_pi_acceptor', 'p1_polarisable', 'p1_sigma', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p2_pi_doner', 'p2_pi_acceptor', 'p2_polarisable', 'p2_sigma', 'p3_polar', 'p3_size', 'p3_flex', 'p3_h_doner', 'p3_h_acceptor', 'p3_pi_doner', 'p3_pi_acceptor', 'p3_polarisable', 'p3_sigma']",0.9833333333333333,0.9827434922491957,0.9285714285714286,0.9248554913294799,0.1866666666666667,0.1861111111111111,0.2,,,,0.7
5,KNN,ALL,none,27,"['p1_polar', 'p1_size', 'p1_flex', 'p1_h_doner', 'p1_h_acceptor', 'p1_pi_doner', 'p1_pi_acceptor', 'p1_polarisable', 'p1_sigma', 'p2_polar', 'p2_size', 'p2_flex', 'p2_h_doner', 'p2_h_acceptor', 'p2_pi_doner', 'p2_pi_acceptor', 'p2_polarisable', 'p2_sigma', 'p3_polar', 'p3_size', 'p3_flex', 'p3_h_doner', 'p3_h_acceptor', 'p3_pi_doner', 'p3_pi_acceptor', 'p3_polarisable', 'p3_sigma']",0.8833333333333333,0.8767851212221853,0.9285714285714286,0.9248554913294799,0.1866666666666667,0.1861111111111111,0.2,,,,0.7
5,SVM-rbf,kDN,pearson,7,"['p1_polar', 'p1_h_doner', 'p1_h_acceptor', 'p2_polar', 'p2_flex', 'p2_polarisable', 'p3_polar']",0.9166666666666666,0.9105691056910569,0.9285714285714286,0.9248554913294799,,,,0.25666666666666665,0.2897222222222222,0.2,0.7
5,KNN,kDN,pearson,7,"['p1_polar', 'p1_h_doner', 'p1_h_acceptor', 'p2_polar', 'p2_flex', 'p2_polarisable', 'p3_polar']",0.9166666666666666,0.9105691056910569,0.9285714285714286,0.9248554913294799,,,,0.25666666666666665,0.2897222222222222,0.2,0.7
5,SVM-rbf,kDN,spearman,7,"['p1_polar', 'p1_size', 'p1_h_doner', 'p1_pi_doner', 'p2_polar', 'p2_flex', 'p3_polar']",0.8833333333333333,0.8716707021791769,0.9285714285714286,0.9248554913294799,,,,0.22000000000000003,0.22,0.23333333333333334,0.7
5,KNN,kDN,spearman,7,"['p1_polar', 'p1_size', 'p1_h_doner', 'p1_pi_doner', 'p2_polar', 'p2_flex', 'p3_polar']",0.8833333333333333,0.8716707021791769,0.7857142857142857,0.7843137254901961,,,,0.22000000000000003,0.22,0.23333333333333334,0.7
