feature,Hostility_importances,N1_importances,kDN_importances,Hostility_importances_norm,N1_importances_norm,kDN_importances_norm,count_vars,Hostility_removed_count,N1_removed_count,kDN_removed_count,fold,model
f111,,,,,,,,,,,2,SVM-rbf
f112,-0.007916666666666627,-0.004520833333333196,-0.0004166666666666763,-0.00022619047619047507,-0.00012916666666666274,-1.190476190476218e-05,35.0,1.0,1.0,1.0,2,SVM-rbf
f113,-0.004166666666666652,-0.002590277777777761,-0.00024999999999991696,-0.0002777777777777768,-0.00017268518518518406,-1.666666666666113e-05,15.0,1.0,1.0,1.0,2,SVM-rbf
f114,,,,,,,,,,,2,SVM-rbf
f12,-0.010833333333333361,0.043358134920635005,-0.007916666666666683,-0.000318627450980393,0.0012752392623716178,-0.00023284313725490245,34.0,1.0,1.0,1.0,2,SVM-rbf
f13,0.04124999999999995,0.10651388888888869,0.1864166666666665,0.0002562111801242233,0.0006615769496204267,0.0011578674948240157,161.0,1.0,1.0,1.0,2,SVM-rbf
f14,-0.004583333333333328,0.037606150793650706,0.02366666666666678,-9.75177304964538e-05,0.000800130867950015,0.0005035460992907825,47.0,1.0,1.0,1.0,2,SVM-rbf
f15,2.3104166666666672,0.3231249999999999,0.28233333333333344,0.01079633956386293,0.0015099299065420555,0.0013193146417445488,214.0,0.0,1.0,1.0,2,SVM-rbf
f16,0.01958333333333334,-0.006259920634920646,0.03750000000000009,0.0003626543209876545,-0.00011592445620223419,0.0006944444444444461,54.0,1.0,1.0,1.0,2,SVM-rbf
f17,0.036250000000000004,-0.00028472222222225563,-0.003416666666666679,0.0006250000000000001,-4.9090038314182004e-06,-5.890804597701171e-05,58.0,1.0,1.0,1.0,2,SVM-rbf
f18,1.2433333333333336,0.3860902777777779,0.7451666666666668,0.0040899122807017555,0.0012700338084795325,0.0024512061403508777,304.0,0.0,1.0,0.0,2,SVM-rbf
f19,0.08124999999999999,0.04274305555555569,0.002083333333333326,0.0008376288659793813,0.00044065005727377,2.1477663230240474e-05,97.0,1.0,1.0,1.0,2,SVM-rbf
f2,-0.0016666666666665941,0.03229166666666655,0.08016666666666711,-1.6181229773462077e-05,0.0003135113268608403,0.0007783171521035642,103.0,1.0,1.0,1.0,2,SVM-rbf
f20,0.9308333333333333,0.48369246031746055,0.5673333333333335,0.003232060185185185,0.001679487709435627,0.001969907407407408,288.0,0.0,1.0,1.0,2,SVM-rbf
f21,0.14416666666666672,0.025631944444444388,0.11616666666666647,0.0012872023809523815,0.00022885664682539632,0.0010372023809523793,112.0,1.0,1.0,1.0,2,SVM-rbf
f22,1.5262499999999992,0.8879464285714298,0.8317499999999993,0.0037685185185185165,0.0021924603174603204,0.002053703703703702,405.0,0.0,0.0,0.0,2,SVM-rbf
f23,-0.00666666666666671,0.03370932539682536,-0.006000000000000005,-0.00019607843137255029,0.0009914507469654518,-0.00017647058823529426,34.0,1.0,1.0,1.0,2,SVM-rbf
f24,0.06083333333333335,-0.00854166666666667,0.014749999999999874,0.0007242063492063494,-0.00010168650793650797,0.0001755952380952366,84.0,1.0,1.0,1.0,2,SVM-rbf
f25,-0.003333333333333355,-0.008606150793650902,-0.00541666666666657,-0.00010101010101010166,-0.0002607924482924516,-0.00016414141414141121,33.0,1.0,1.0,1.0,2,SVM-rbf
f26,-0.013749999999999984,-0.0008005952380952253,-0.0014166666666666772,-0.0004910714285714281,-2.8592687074829475e-05,-5.059523809523847e-05,28.0,1.0,1.0,1.0,2,SVM-rbf
f27,-0.004166666666666652,0.006888888888888889,-0.004750000000000032,-8.333333333333303e-05,0.0001377777777777778,-9.500000000000064e-05,50.0,1.0,1.0,1.0,2,SVM-rbf
f28,-0.01583333333333331,-0.005361111111111094,0.016916666666666635,-0.000494791666666666,-0.0001675347222222217,0.0005286458333333324,32.0,1.0,1.0,1.0,2,SVM-rbf
f29,-0.00874999999999998,-0.0014236111111111116,-0.0012499999999999734,-0.000145833333333333,-2.372685185185186e-05,-2.083333333333289e-05,60.0,1.0,1.0,1.0,2,SVM-rbf
f3,0.0970833333333333,0.028472222222222343,0.1040833333333332,0.0006304112554112552,0.00018488455988456066,0.0006758658008658,154.0,1.0,1.0,1.0,2,SVM-rbf
