feature,kDN_importances,kDN_importances_norm,count_vars,kDN_removed_count,kDN_fixed_count,fold,model
V1,-0.015662650602409678,-0.0031325301204819357,5.0,1.0,0.0,1,KNN
V10,1.9506024096385535,0.00560517933804182,348.0,1.0,33.0,1,KNN
V11,0.40963855421686735,0.0037581518735492416,109.0,1.0,8.0,1,KNN
V12,24.131325301204804,0.030164156626506004,800.0,0.0,183.0,1,KNN
V13,0.18072289156626514,0.00645438898450947,28.0,1.0,1.0,1,KNN
V14,0.009638554216867573,0.00011339475549255969,85.0,1.0,0.0,1,KNN
V15,6.395180722891561,0.008833122545430332,724.0,0.0,173.0,1,KNN
V16,,,,,,1,KNN
V17,,,,,,1,KNN
V18,,,,,,1,KNN
V19,0.15662650602409645,0.001305220883534137,120.0,1.0,5.0,1,KNN
V2,0.572289156626506,0.001402669501535554,408.0,1.0,19.0,1,KNN
V20,-0.012048192771084376,-0.0010952902519167614,11.0,1.0,0.0,1,KNN
V21,0.01686746987951812,0.0004819277108433749,35.0,1.0,0.0,1,KNN
V22,0.23614457831325306,0.0015434286164264905,153.0,1.0,8.0,1,KNN
V23,0.05662650602409633,0.00040738493542515346,139.0,1.0,1.0,1,KNN
V24,-0.021686746987951866,-0.0007478188616535126,29.0,1.0,0.0,1,KNN
V25,-0.01807228915662651,-0.0007857517024620222,23.0,1.0,0.0,1,KNN
V26,0.03614457831325302,0.0017211703958691913,21.0,1.0,0.0,1,KNN
V27,5.031325301204829,0.005830040905219964,863.0,0.0,190.0,1,KNN
V28,-0.0072289156626506035,-0.0004819277108433736,15.0,1.0,0.0,1,KNN
V29,-0.002409638554216914,-5.3547523427042534e-05,45.0,1.0,1.0,1,KNN
V3,-0.02289156626506028,-0.0003815261044176714,60.0,1.0,0.0,1,KNN
V30,0.0337349397590361,0.0002677376171352072,126.0,1.0,2.0,1,KNN
V31,0.4120481927710845,0.0013780876012410854,299.0,1.0,16.0,1,KNN
V32,0.016867469879518093,0.0004558775643112998,37.0,1.0,0.0,1,KNN
V33,-0.03855421686746985,-0.001542168674698794,25.0,1.0,0.0,1,KNN
V34,-0.0036144578313253573,-0.00010327022375215307,35.0,1.0,0.0,1,KNN
V35,0.06867469879518062,0.000903614457831324,76.0,1.0,2.0,1,KNN
V36,-0.0060240963855421326,-0.0003170577045022175,19.0,1.0,0.0,1,KNN
V37,-0.019277108433734924,-0.0032128514056224875,6.0,1.0,0.0,1,KNN
V38,0.021686746987951894,0.0006995724834823192,31.0,1.0,0.0,1,KNN
V39,0.17951807228915667,0.0013809082483781283,130.0,1.0,4.0,1,KNN
V4,-0.014457831325301207,-0.0012048192771084338,12.0,1.0,0.0,1,KNN
V40,-0.014457831325301207,-0.0010327022375215148,14.0,1.0,0.0,1,KNN
V41,-0.022891566265060226,-0.0038152610441767043,6.0,1.0,0.0,1,KNN
V42,-0.02168674698795192,-0.00036757198284664274,59.0,1.0,0.0,1,KNN
V43,0.13734939759036127,0.0014159731710346522,97.0,1.0,2.0,1,KNN
V44,0.22771084337349393,0.001469102215312864,155.0,1.0,8.0,1,KNN
V45,0.19397590361445774,0.0014695144213216496,132.0,1.0,5.0,1,KNN
V46,0.057831325301204856,0.0005507745266781415,105.0,1.0,2.0,1,KNN
V47,8.879518072289155,0.01378807154082167,644.0,0.0,173.0,1,KNN
V48,0.4289156626506025,0.0020922715251248903,205.0,1.0,9.0,1,KNN
V49,0.23975903614457855,0.0016535105941005417,145.0,1.0,7.0,1,KNN
V5,-0.01204819277108446,-0.00038865137971240193,31.0,1.0,0.0,1,KNN
V50,-0.003614457831325274,-3.5435861091424254e-05,102.0,1.0,1.0,1,KNN
