fold,measure,n_features,top_features,acc_train,gps_train,acc_test,gps_test,complexity_Hostility,complexity_N1,complexity_kDN,model
5,Hostility_importances_norm,10,"['f11', 'f5', 'f9', 'f14', 'f6', 'f7', 'f8', 'f2', 'f0', 'f1']",1.0,1.0,0.775,0.7749346584492273,0.10375,0.13710714285714284,0.15525000000000003,DecisionTree
5,N1_importances_norm,10,"['f8', 'f1', 'f9', 'f6', 'f0', 'f14', 'f3', 'f2', 'f4', 'f7']",1.0,1.0,0.83,0.8299795156042896,0.09375,0.1059077380952381,0.13425,DecisionTree
5,kDN_importances_norm,10,"['f8', 'f9', 'f7', 'f2', 'f6', 'f5', 'f3', 'f10', 'f14', 'f0']",1.0,1.0,0.785,0.7844439477633386,0.1225,0.13724999999999998,0.16899999999999998,DecisionTree
1,Hostility_importances_norm,10,"['f8', 'f7', 'f14', 'f2', 'f1', 'f9', 'f5', 'f4', 'f6', 'f0']",1.0,1.0,0.905,0.9049973756181109,0.06625,0.09214583333333333,0.11725000000000002,XGBoost
1,N1_importances_norm,10,"['f8', 'f2', 'f9', 'f6', 'f14', 'f3', 'f10', 'f0', 'f5', 'f4']",1.0,1.0,0.905,0.9049973756181109,0.14625,0.14239583333333333,0.18625,XGBoost
1,kDN_importances_norm,10,"['f7', 'f8', 'f9', 'f4', 'f6', 'f2', 'f14', 'f1', 'f5', 'f0']",1.0,1.0,0.92,0.92,0.06625,0.09214583333333333,0.11725000000000002,XGBoost
2,Hostility_importances_norm,10,"['f14', 'f6', 'f8', 'f2', 'f4', 'f0', 'f3', 'f1', 'f11', 'f9']",1.0,1.0,0.91,0.9098414795244386,0.12375,0.14922321428571428,0.17925000000000002,XGBoost
2,N1_importances_norm,10,"['f9', 'f8', 'f3', 'f2', 'f6', 'f4', 'f1', 'f0', 'f14', 'f5']",1.0,1.0,0.93,0.9298793623438174,0.12625,0.13133035714285715,0.16150000000000003,XGBoost
2,kDN_importances_norm,10,"['f7', 'f1', 'f9', 'f8', 'f5', 'f0', 'f6', 'f4', 'f2', 'f14']",1.0,1.0,0.95,0.9499156474061577,0.0775,0.10629761904761903,0.1325,XGBoost
3,Hostility_importances_norm,10,"['f6', 'f8', 'f0', 'f2', 'f9', 'f14', 'f7', 'f3', 'f10', 'f11']",1.0,1.0,0.87,0.8698653779772177,0.13125,0.14939880952380952,0.18600000000000003,XGBoost
